geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US21111012407,"Census Tract 124.07, Jefferson, KY",5078,350,4882,407,3469,426,1125,184,0,16,0,16,65,103,0,16,223,140,14,22,209,143,196,177,196,177,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111012408,"Census Tract 124.08, Jefferson, KY",2373,189,2262,181,1837,199,387,204,0,11,5,9,0,11,0,11,33,26,0,11,33,26,111,108,93,106,18,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111012409,"Census Tract 124.09, Jefferson, KY",3163,300,3027,316,2799,306,168,89,22,28,0,11,0,11,0,11,38,33,0,11,38,33,136,131,136,131,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111012410,"Census Tract 124.10, Jefferson, KY",4076,337,3929,347,3334,249,587,268,0,11,0,11,0,11,0,11,8,15,0,11,8,15,147,151,147,151,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
14000US21111012411,"Census Tract 124.11, Jefferson, KY",6789,581,6689,602,5348,705,865,564,0,16,224,308,0,16,215,289,37,42,0,16,37,42,100,104,93,104,0,16,0,16,0,16,0,16,7,12,0,16,0,16,0,16
14000US21111012502,"Census Tract 125.02, Jefferson, KY",5443,957,5244,937,3774,538,1148,668,0,16,173,267,0,16,69,106,80,89,0,16,80,89,199,204,130,140,10,16,0,16,0,16,0,16,59,96,0,16,0,16,0,16
14000US21111012503,"Census Tract 125.03, Jefferson, KY",4289,442,4218,449,2710,214,1366,399,0,11,6,10,0,11,0,11,136,107,0,11,136,107,71,71,28,35,14,28,0,11,11,21,0,11,18,32,0,11,0,11,0,11
14000US21111012601,"Census Tract 126.01, Jefferson, KY",7022,602,6888,599,1758,362,5015,461,0,16,16,25,0,16,24,40,75,85,0,16,75,85,134,109,134,109,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111012604,"Census Tract 126.04, Jefferson, KY",5426,646,5140,768,2368,469,2732,593,40,54,0,16,0,16,0,16,0,16,0,16,0,16,286,262,264,265,0,16,22,37,0,16,0,16,0,16,0,16,0,16,0,16
14000US21111012701,"Census Tract 127.01, Jefferson, KY",3448,365,3218,333,1122,265,2073,343,0,11,0,11,0,11,0,11,23,38,0,11,23,38,230,191,106,156,0,11,0,11,0,11,0,11,41,65,83,123,0,11,83,123
14000US21111012702,"Census Tract 127.02, Jefferson, KY",1965,142,1839,150,1444,144,321,64,0,11,0,11,0,11,0,11,74,50,0,11,74,50,126,88,114,87,0,11,0,11,0,11,0,11,12,19,0,11,0,11,0,11
14000US21111012703,"Census Tract 127.03, Jefferson, KY",6439,620,6047,595,4564,562,1169,380,22,33,0,16,0,16,40,69,252,278,0,16,252,278,392,571,0,16,11,19,0,16,0,16,0,16,381,572,0,16,0,16,0,16
14000US21111012801,"Census Tract 128.01, Jefferson, KY",2934,325,2836,341,347,201,2383,337,0,11,6,9,0,11,0,11,100,102,0,11,100,102,98,131,7,11,0,11,0,11,0,11,0,11,91,132,0,11,0,11,0,11
14000US21111012802,"Census Tract 128.02, Jefferson, KY",2419,373,2158,228,542,148,1489,201,0,11,9,17,0,11,0,11,118,97,0,11,118,97,261,325,189,283,65,108,0,11,0,11,0,11,7,70,0,11,0,11,0,11
14000US21111980100,"Census Tract 9801, Jefferson, KY",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
16000US2148006,"Louisville/Jefferson County metro government (balance), KY",617790,129,583052,913,405145,1546,144069,1750,781,231,16406,836,334,114,1646,499,14671,1360,608,222,14063,1299,34738,917,26787,1368,1747,425,242,144,102,78,0,27,4720,1181,1140,351,391,128,749,317
